od,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99
"(0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 1)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,17.004763778718797,1e-07,0.1,64.0610975422698,0.1,0.1,0.1,0.1,127.20301818529715,0.1,108.77020104934873,0.1,0.1,0.1,0.1,52.009498883484106,151.51250850592845,0.1,0.1,0.1,1e-07,0.1,0.1,0.1,0.1,0.1,131.09763228263546,95.21855400802903,0.1,0.1,0.1,148.37077409972906,0.1,0.1,0.1,1e-07,0.1,0.1,47.39056077417678,0.1,0.1,0.1,0.1,33.25421612254934,75.89811840439658,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,100.6755831941262,0.1,0.1,0.1,1e-07,0.1,141.67318436655643,0.1,0.1,0.1,0.1,0.1,0.1,185.61475747327222,118.03297839347547,190.2370130849268,103.73334491830728,0.1,77.00272447623146,224.03688201728264,0.1,93.30671746106064,0.1,0.1,137.96907202790146,19.87969714329661,0.1,0.1,19.081342973865432,166.9042563330429,0.1,149.89398646861682,0.1,0.1,0.1,0.1,0.1
"(0, 2)",0.1693211585360217,0.1,0.1,0.1,0.1,1e-07,0.1,0.1,0.1,0.1,0.1,0.1,91.34631061727592,0.1,0.1,0.1,0.1,53.09170262731651,0.1,0.1,20.2358661932046,0.1,0.1,0.1,0.1,0.1,0.1,57.37238427267647,0.1,0.1,0.1,0.1,0.1,79.98895995185902,216.135295513676,0.1,0.1,0.1,92.96406982856409,85.37557312951618,0.1,0.1,0.1,0.1,0.1,59.75649232372284,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15.729901884018076,0.1,0.1,3.0103722119701075,0.1,0.1,160.06134094509483,0.1,0.1,1e-07,0.1,0.1,0.1,76.55772768132623,0.1,0.1,0.1,15.636957037666178,0.1,0.1,0.1,0.1,117.9802232686406,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,112.20583254013708,43.96626748244087,0.1,0.1,0.1,28.0264349644995,0.1,0.1,0.1,0.1,0.1,111.53521337691953,130.22628480723597,186.20056251747363
"(0, 3)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,581.4726048444866,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,466.85104343290936,0.1,0.1,0.1,0.1,310.90354709840426,0.1,0.1,0.1,0.1,0.1,0.1,429.6708325558264,0.1,0.1,0.1,435.37248321142295,647.3445693137053,0.1,0.1,0.1,0.1,0.1,525.8872427499207,582.6709185831654,0.1,0.1,657.2231953657118,0.1,0.1,0.1,0.1,0.1,411.2343741254616,0.1,0.1,443.6649485051662,0.1,0.1,0.1,591.9184725869795,0.1,449.09909842709163,524.8147849990828,0.1,0.1,0.1,486.6950266468606,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,455.1147811426773,0.1,0.1,0.1,0.1,0.1,505.19294242860946,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,513.7753313970609,0.1,447.5799210017023,497.6573481298202,578.8287378694986
"(0, 4)",0.1,0.1,0.1,0.1,0.1,166.07209237578854,0.1,0.1,0.1,0.1,0.1,209.31321616132382,0.1,0.1,0.1,0.1,0.1,0.1,0.1,261.0023897976252,0.1,0.1,283.60485795505696,0.1,292.72822936964104,177.6974309018768,0.1,0.1,0.1,0.1,0.1,0.1,0.1,282.84922049134923,293.87343999468663,141.59918014383626,262.0154605072319,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,208.61164182882032,0.1,0.1,0.1,91.2892424028649,0.1,0.1,0.1,0.1,0.1,0.1,168.31104681606135,0.1,257.3398857137689,93.19426502405717,0.1,0.1,0.1,0.1,170.87539454278627,0.1,163.05093708328604,0.1,201.4525336113784,0.1,0.1,85.54056243598859,0.1,0.1,251.15849524828548,273.1365791290955,103.56757259064204,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,202.50169285016887,0.1,184.57148953619918,0.1,0.1,0.1,208.08400673068752,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"(0, 5)",0.1,228.71569856478177,350.5631522162737,292.2007147926045,0.1,0.1,0.1,224.60764041808005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,265.8775856377732,0.1,0.1,0.1,0.1,0.1,304.88585842742117,347.44807684246587,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,311.1077185432081,348.7919568055995,264.1261576980504,0.1,0.1,0.1,0.1,407.61155273467637,0.1,0.1,0.1,0.1,392.1720219281226,0.1,0.1,214.98553682518406,0.1,0.1,0.1,0.1,363.8761491632539,262.4040319778794,0.1,0.1,0.1,388.467241397405,0.1,0.1,0.1,0.1,0.1,187.57936401358836,0.1,0.1,412.04430121082953,0.1,0.1,0.1,407.70083505043294,0.1,0.1,0.1,0.1,391.8672005954251,0.1,362.1447355576707,0.1,0.1,0.1,0.1,0.1,0.1,334.34131073230236,0.1,0.1,276.315646665872,0.1,336.5564004065276,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,378.7651614005088,0.1,0.1
"(0, 6)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,495.37831143837536,506.52877752949865,0.1,0.1,518.7736426841831,418.38768240254245,0.1,0.1,599.5065275211787,0.1,0.1,549.6686573967047,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,553.4811027812543,572.471152597016,0.1,577.0313244554715,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,497.02256038468835,407.2088519787646,0.1,0.1,461.86192040542306,0.1,0.1,0.1,0.1,0.1,0.1,0.1,555.3756628329912,0.1,0.1,0.1,466.8335583257799,0.1,475.9536476971674,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,473.7481612511781,390.6131057305493,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,525.2956342952947,0.1,0.1,447.14431426062845,0.1,0.1,0.1,436.75368799394977,0.1,596.6603645636011,0.1,0.1
"(0, 7)",0.1,784.4507302301542,0.1,756.1727707721675,0.1,0.1,795.5683797380428,0.1,0.1,0.1,0.1,0.1,0.1,740.3476302307603,0.1,0.1,0.1,664.957492565067,0.1,732.4244228802128,0.1,0.1,0.1,0.1,747.5058355712277,0.1,0.1,0.1,0.1,0.1,777.7667156702358,0.1,843.3373572414228,0.1,0.1,0.1,846.620607316467,727.7091690358161,817.6225661976417,831.6424044856929,0.1,0.1,0.1,0.1,884.7043275365196,764.1944305116976,0.1,783.0838407671818,0.1,0.1,0.1,0.1,831.8453162212666,0.1,0.1,0.1,794.4833044455571,0.1,0.1,0.1,0.1,750.8066136107336,0.1,828.1695661367154,0.1,0.1,775.3891394185139,0.1,0.1,0.1,0.1,0.1,822.1397633368094,0.1,706.6544639791218,0.1,0.1,0.1,0.1,702.9984159334472,816.1926902121769,0.1,837.6369836311775,0.1,0.1,0.1,0.1,0.1,876.1285738227681,0.1,0.1,842.4267049666479,0.1,0.1,0.1,0.1,787.4078189033212,0.1,831.6459981243217,0.1
"(0, 8)",0.1,0.1,0.1,0.1,0.1,453.710311963961,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,511.0683007723493,483.7907657654781,0.1,0.1,0.1,0.1,0.1,511.1840853488062,0.1,484.5436707054185,455.2401566578878,0.1,0.1,423.44377919525454,0.1,0.1,447.3270486276711,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,499.892340299501,0.1,0.1,0.1,0.1,0.1,0.1,473.8288325600769,0.1,404.4831791877596,529.5803034988625,0.1,456.53676622230614,406.50046129395736,470.5388838532664,0.1,0.1,0.1,0.1,0.1,465.72000771102216,0.1,0.1,0.1,0.1,0.1,555.8149093272959,0.1,427.5711997160914,0.1,0.1,0.1,0.1,508.9838489711475,0.1,0.1,0.1,0.1,506.8251118062702,0.1,0.1,0.1,482.90237509528146,0.1,0.1,0.1,615.7492026512588,0.1,0.1,0.1,0.1,0.1,491.43437525374054,0.1,577.9157399873518
"(0, 9)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1458.7101768783236,0.1,0.1,0.1,1319.642535619016,0.1,0.1,0.1,0.1,0.1,0.1,1298.2701133017486,1319.5089549888837,0.1,0.1,0.1,1358.982971797168,0.1,1353.5817054969846,0.1,0.1,0.1,0.1,0.1,0.1,1367.0854983240044,0.1,0.1,0.1,1388.5373169209543,0.1,0.1,0.1,1386.687034603673,0.1,0.1,0.1,0.1,1294.764200216968,1299.4222732644466,0.1,0.1,0.1,0.1,0.1,1184.3979963342058,0.1,0.1,0.1,1347.133801751845,1284.570643462676,0.1,0.1,1264.5509875850732,1404.9997706825698,0.1,0.1,1359.875844823425,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1323.9323341862705,1264.6378043497916,0.1,0.1,0.1,1217.1081889249926,0.1,0.1,1207.7886400442048,0.1,1218.9438136677556,0.1,0.1,0.1,1322.5968695174993,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"(0, 10)",0.1,452.1160943403643,0.1,0.1,0.1,467.68519098437923,0.1,614.950255647433,0.1,0.1,328.97279712034447,0.1,0.1,516.7720323077364,0.1,0.1,0.1,452.90046427659223,570.5429194995611,0.1,0.1,539.2935756415927,441.40769283382656,0.1,451.1854458464559,0.1,518.2210146721377,0.1,533.1400197166067,537.1056461528418,0.1,0.1,0.1,0.1,499.10212929069894,0.1,516.8928615584908,0.1,0.1,517.9624262941505,0.1,0.1,0.1,0.1,0.1,548.8531425194176,449.88891016282025,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,650.5992380234951,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,529.2050068434067,0.1,0.1,556.3349895345391,0.1,0.1,0.1,0.1,0.1,0.1,609.4253920579073,0.1,0.1,0.1,0.1,491.0517498848711,0.1,371.9727020588517,0.1,0.1,0.1,0.1,0.1,0.1,565.2143525878689,0.1,476.1314776705746,0.1,0.1,0.1,450.81413511852696
"(0, 11)",0.1,136.2275816680853,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,304.6292257961991,217.42793729853383,0.1,0.1,0.1,0.1,276.5528221841656,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,232.29508552638913,0.1,0.1,226.13895594496677,0.1,0.1,184.01429941658506,0.1,0.1,0.1,0.1,0.1,0.1,0.1,181.7956468757501,340.6804515150666,0.1,0.1,202.71780159883622,0.1,222.72085036177813,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,259.2711011427607,270.0491413578654,174.83364038145228,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,188.90533793217486,0.1,0.1,0.1,0.1,0.1,185.09366672314619,0.1,0.1,0.1,0.1,0.1,130.9319842820243,0.1,0.1,0.1,0.1,0.1,212.05715726307025,0.1,297.5364500268476,0.1,0.1,0.1,0.1,0.1,141.8737453615598,0.1,0.1
