link,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99
"(0, 1, '0')",744.1887889765769,1268.0391566337253,2247.6403039154247,2633.02252538554,1163.9913199242142,1284.1370824079977,2107.9257576441337,1725.6017608184643,2349.5448636500832,625.621093724625,1334.7699695296824,846.3706119984047,2056.9008488467025,2544.019237018286,920.2791860495014,2764.601043870502,1191.75356497795,2130.2365993241033,1428.1281776686824,2699.1477188448853,2684.6066994003695,2101.0319514604,1146.971809345804,1397.7220731077675,3170.911322204661,2168.956845804437,1688.5143895189317,1049.9203499780092,1576.9207018652946,2788.359269734183,2531.1867472272875,1757.789926737405,2201.841863046024,3039.0613238445258,3228.3034066650844,1764.5657574379827,3874.8288943908788,2376.2116281426233,2635.422264874817,2298.5925214395584,752.8337614333179,1527.118079386134,1155.0048718630474,2375.867090819799,1347.8378371022036,2591.6889179425143,2549.4534592617065,2492.4305708769953,379.46676620050476,1316.1560917913473,1276.1048996538814,1686.7396595869245,2461.0858277840757,2753.055454289255,3267.039140722245,1255.5653391000164,2340.195888239567,2255.5348395663964,2799.6027410341676,2002.7503752235025,88.05777678895926,1557.8571545136424,2934.5211356441214,2705.6009816990145,1318.782906837001,2240.79095732248,2967.306754864475,1531.5607756564327,3117.739060823814,1219.905131242622,353.2300927192508,1310.9964081680828,1923.1655529349212,1212.1845077410806,1583.078042675943,1181.6874495722832,2430.2124522198706,1433.6978441661704,3009.5381486161214,1754.905972699537,1892.5287801747268,1030.5701659220717,1891.3380483827923,2167.588454838639,1600.3237106114252,1112.972206574644,4720.716131275738,893.9477101736258,4170.47807782919,1137.527107925983,1337.9416557846885,2215.826376211404,1634.1063779334263,2946.2559391019868,2175.5574619370823,2189.3573897304773,1035.7234912441716,2656.2589075694996,1162.8098635932781,2340.6938654115957
"(0, 2, '0')",458.38399998310695,981.869578833648,670.0292451021936,998.392185219113,1001.6199740201554,1253.4458760439845,124.89841097919381,1772.757573840096,1349.8734152017096,1029.1959843263905,1132.8095951623536,1749.877897551209,1825.7064250341148,1246.7165082984752,396.2805619558051,1209.9342425931259,462.826482343795,1100.0181800477621,1349.1176315006655,978.1439508202354,1318.333673042455,1523.7165915611906,546.7390544773698,611.8432428975171,935.3773617672964,516.6348550526124,3108.370224635827,794.9293832454276,645.4375541155301,1501.0909779674948,962.1435495546003,652.0036511333304,283.61657220955976,1576.3794414255306,1323.3071254672927,225.1537290538827,832.7225496136385,1550.9056626629024,1200.6260182256995,818.7767047038037,1048.8352015384562,1236.0619570923052,101.87973516811682,1228.238315607514,1494.1348998766598,1656.9887437115444,1463.3280225972073,1375.1241563054716,1227.9228430647893,655.1348473573689,133.02219494755434,1403.2008934177684,1262.6995774473016,1433.5644952887865,1084.5855658494395,888.5461972610993,1037.555696337476,2037.3677831442897,2615.694894182963,1120.8448872981317,405.3730473445772,1622.344132164861,825.5615840682461,961.1452551612144,1498.4618910524275,1075.4462218331212,560.4761742211326,308.8563548558518,1271.660092962138,793.5542625116294,711.6871440544261,477.3889541786427,1486.3747163599892,138.28809300248878,204.71068530215447,299.09611417174864,1541.418733521914,2440.078591686186,568.6995346690045,1402.9950069906238,727.2127366522362,1566.0875431718887,668.6632124166731,1760.04089464494,1532.9162162117332,1434.2455921404974,1079.7606643797324,757.3611008559687,594.0178347564051,648.1596418500094,1353.0839399791641,1264.5873829637846,852.4365342678399,1828.5279100231276,598.8930400578103,1375.9414393648162,1115.592545635189,1333.4959956708296,1025.671666539082,2347.695926737951
"(1, 0, '0')",1951.1032454561914,1918.6988695492155,1171.586468515948,208.95497102066216,676.4664969844756,761.3967269441232,883.054408658587,875.8861860261169,1071.4484266125785,1169.5797671602345,776.8486335327774,559.4191824332447,856.5176214048964,768.5100193547462,1016.2272294562038,401.78360119380795,853.6330916534745,1134.8503743259312,856.4194173863382,599.9528933570118,841.1250434629831,1227.572223414421,458.18708289610436,537.7574561209947,1257.9101937945331,113.88428759757281,1068.1233771092725,2021.1461153879077,238.38155208934188,1478.678768360614,206.75271691138877,1226.265794430547,818.1932218367356,1434.266889549707,520.659329367048,289.1527437461349,168.013178184397,740.2220337261045,1200.0365214054764,1175.9831990328646,1036.1242979656472,1036.4279402648215,40.524766007818926,505.33851594055716,873.1359598016882,718.9907912307185,1630.4318403874088,947.7595509577019,1507.7705100922933,663.0696696121552,700.2643998432266,492.9720316889223,1518.7421515656133,289.3522044865029,303.48694953960296,2862.7615994277417,1266.8191075490408,467.96248667513527,1221.0716100616726,1000.5445164841148,1171.1670078096658,1247.824716776664,1118.2536301387156,25.40688894330289,1101.4338442118333,2306.8143923929333,1632.3566298953283,1074.337652123877,1373.975956960333,450.55133467321724,826.664891182007,276.6861477125139,905.7569715153651,1114.6525071357287,1.6468174397635986,1542.9092268755248,435.9029093316995,1259.6453254365117,22.395018937791907,1563.7044427905523,2.615676533114643,945.3747941033545,1181.6805007365172,2575.8532433725854,1866.5130124968773,1.3247466368628942,435.9041659433976,1566.918669935836,1293.5917016450612,679.7510907034625,1155.8996642003542,510.63132719425414,1673.7524344318613,545.4078497656735,580.7951708419399,749.0367570195535,1116.685444811436,949.6934538821695,210.44097107294485,326.56969142107357
"(1, 5, '0')",697.0614973182213,1964.931380091658,3253.6803886281723,3703.9056626616466,2189.8066451014715,1585.3996192453067,2623.226517846019,2847.0538232662993,3317.1611455225348,1621.20175488337,2649.9734904352367,2043.828537289797,3341.150892600118,2490.8226995297,1559.14081506292,4000.363136525519,2246.9004615452595,2662.619500038216,2006.9173569271043,2972.284003583682,3268.095708348298,2630.729962206166,1267.7212653080694,2535.2776812406173,3125.5737536597408,2864.808529984516,1659.958177344813,1276.1526517835775,1519.6153126545703,2797.358916301713,3857.205526498181,2657.8844241209254,3477.618021187457,3251.414853890391,2681.166045406042,1277.5971885573258,4172.100472275498,3029.7545927395836,4215.84851514811,2311.299696272577,714.9361969846093,2433.852316876332,2006.4099597394052,2855.4773833115223,1544.603181902703,2830.890807873116,3634.4351092598936,3075.068833482474,993.2716199947712,1815.515629800982,1921.2319149899208,1610.0651423863217,3200.6361427526826,2954.7144111863786,3479.9267658905924,1811.7903935285274,2568.3099535477963,3144.7532186018775,3302.820707413414,2972.799301194022,563.1750117315951,2251.173565254113,3661.2316010546037,3430.5783618863843,2157.0961956238934,2867.6334764356657,3373.769495389195,2944.40857478912,2922.764167181699,2134.862040842124,599.4322101577401,2063.6185607141647,2182.180356289534,1191.1801655385625,2212.02417198461,1762.1172618283806,2889.593484721734,1564.340003259244,3273.2374712916053,1750.5319684579674,2417.9717162979628,1458.8682034216852,2517.9290061358197,2646.128251327204,1409.579749533902,1464.8425133122566,5231.9506439778625,1054.963211667156,5326.881342681979,863.1053929289823,1676.4249502944422,2433.728405671535,2045.2188831618046,2463.215007063627,2372.4048891366606,3406.503086728861,2321.4896204703805,3402.570089557121,1717.8740531968392,3093.9653735478487
"(2, 0, '0')",2518.8423733807585,2047.1530619322957,4025.2878512687125,3785.6647641969803,832.9977103768504,3059.842834023035,1522.439942706383,1788.0527994190434,1795.963474333026,2435.0585662410203,1564.1559691064867,3878.592191179508,3199.5295862905036,1752.9830549643925,2083.6120615249047,2542.0392011116483,1343.2142309611404,2435.0161643392576,2081.1058828583496,3101.907296399257,2983.0043189025755,2268.9831177718734,2557.269513379656,1371.0221400126086,1686.2212547036897,2151.400892577997,2786.18339775176,1182.1773013565146,2909.98303195743,3656.6772724364855,2478.3351972741266,899.9658743282934,2079.1513298233012,1414.1907022775754,2996.875218421031,1830.289313678654,2257.386039421716,2551.5847351729653,1326.4475312782151,926.5194269318451,1865.362648974215,3837.400537428975,653.9133540195332,3534.4307993699126,1609.978101939799,3257.431123333836,2283.794252115457,1640.7611674421767,1806.0996440529411,773.3232234992554,1891.1949631828484,3008.119077451517,2488.493369596728,1901.7527113814733,3023.918287528577,1789.7243670837179,2123.198048547469,2164.9159153911405,2658.437967610251,2581.7583961769274,1735.810472538335,1140.9745455368377,2022.9761518462856,2275.1965272972275,2759.0887055734975,2530.942289060157,1347.3187946408775,1608.2889228244924,2968.097130133596,3055.9252284203276,2199.1277014264197,3043.404880124788,1911.2326562069272,1337.9951100535811,3241.4147587317366,2774.535512339355,3752.8067190480315,1689.1324356991558,1985.1440856890786,839.5881774969098,2496.299664637042,2949.472746102849,1817.9901384752175,2344.359679630882,2062.3163316801756,1760.227617033354,2421.707907348304,282.2885132190367,3531.1222802237594,1133.3759021815322,552.7162165293108,1759.2696012903607,1227.0628444837494,1992.3806176664032,2746.0393127371626,1464.532729227306,911.1207528839736,1417.2139590804354,1949.7008474943361,2888.432317157897
"(2, 3, '0')",1471.0674246421481,890.7717790760473,1542.4614643407908,1705.4179781834634,909.0282268715081,2325.8132127509443,815.0356817093527,2156.345921862768,3529.83523150511,907.9093722220883,1308.7342846587833,1726.6393380467705,2509.950782873922,2223.1039986856763,1567.120669060505,2357.5161019721186,1775.141933195233,1790.5573852944945,940.3067470696584,2470.3483266398844,790.8503289690583,2448.558460554754,979.6120154052862,1293.060959157756,1754.7788152841174,782.8243860075495,2177.356917543331,1566.187303878629,785.6712006161167,1602.4100192426017,1897.30228335548,1669.3626952533075,1447.451991943718,2140.438411322882,1831.5613352237692,543.9385953037397,1827.7896994702214,3554.6690279798945,1982.6282857966585,1429.087983123736,1104.0614332424582,2158.9964808098043,1189.8500935314546,742.6067120496784,1549.1748587325578,3008.8151010776114,2862.0660999757647,1613.6978012489278,2048.7976431491643,1092.8777150506903,857.777692893408,1859.109168208942,1333.0602464080725,1557.1695612625144,1509.9256749181166,1016.1589991662509,1057.8097591223427,2303.1956954111215,2492.0528887034584,1271.136506067468,1657.9485930379974,2922.3205936466825,1739.3642982882643,2229.4891476262137,3110.426672141484,1107.5674286001617,686.6888576285713,8.507084596911936,1772.9919375682114,1769.5324818174965,540.2531367609724,866.7091588551294,1800.4500879862107,946.6466056689807,880.1441391429781,1262.9039730562931,2125.806423024814,1696.4664773961135,1097.5654825065944,2547.1413236478074,1794.9742493310455,2266.715407153678,645.4926749121591,2325.5485661668476,1408.1528328594798,1954.773527179214,1220.600382368307,1357.7725434069303,778.1462588484663,2256.146403303733,3280.187004911833,1472.1668812497908,1598.8171502234215,2944.494477838838,1953.305790324254,2310.5878052069897,1905.9979284929123,535.4010834125738,1139.9295773725005,3411.8100424943486
"(2, 11, '0')",348.8169034924716,1242.588702019516,708.0329358213426,768.7666710609446,720.8692653594749,515.6838247322895,295.80665153413815,1563.385403202226,197.15762887323936,1218.2744272817527,613.8871091287579,913.1978773599988,1339.0696579223948,726.6630659217485,337.6125792947105,999.0356541625033,811.079769421906,890.6794265798865,1195.5999482253917,270.81669249046746,1139.4379881996126,568.2063605363761,368.1617209537249,268.2852973107147,1634.1383326700104,472.7992908529689,1348.7483852538696,1244.5794436481692,182.9203533404851,839.3549479679925,1309.8891677999438,383.24491735774023,358.5655460226547,915.402981271432,7.31128989529763,663.1711250058138,416.8343117564978,490.2483573326997,632.7577952032123,562.2623402938996,664.3360340450621,451.8738197642282,648.307436542314,1521.8707973816558,1112.0477821566624,555.2243626231846,254.73705656169977,1274.088753308318,1358.070157852785,470.72912921983175,678.0572044776521,622.2481154407706,617.4950787089956,427.0382877630653,581.7744037018888,806.5170085108751,1450.9906802627359,905.110938042748,1319.249925023694,973.2152130653544,665.8116794436605,416.73955390397526,801.1116457319944,439.4996148868173,969.6355399896412,727.3793678014849,602.0278990718621,667.9615267831862,7.576332476654706,994.4497094435617,782.4233108734069,562.6405305455254,822.877703972202,384.31847274053496,521.9856855428229,393.37764518617706,609.0903518984826,1087.1884414497717,330.45684572283267,397.9928371023769,273.0956552593564,1414.226995672234,1046.8348394305158,633.2870156713866,362.8759181785224,715.2756501680951,404.8093674019403,967.958443495732,1021.4053685942147,874.9708594132608,1170.4176134252866,750.6326916986084,308.87495258385826,623.2044494925478,413.7038578082287,94.21205993997272,1495.7421409605615,933.1362231179075,466.76566848412557,355.7426841898366
"(3, 2, '0')",2351.1397851765596,2476.2812549568075,2537.9890237372338,3210.5725193661406,702.42181010494,990.6049214883859,991.0519201723912,2266.669015398458,695.803918196351,2508.989003146547,1263.2250798633245,3431.3006250823128,2285.736691498311,902.5615548580512,1677.0444229897726,831.0042405723408,912.0735119351086,2860.0027092398273,1703.5353911867558,2022.471035257743,2802.277893963938,2039.541299555707,2509.933940128311,1160.486863840441,3253.522891516135,2489.4976237608116,2159.7995816096754,2061.480530306134,2158.9338167396813,3193.7947203888743,1416.8013041714198,437.3040800853504,2879.972970666593,1040.1466629112906,1498.35431674671,1795.4701138986825,967.9605978495356,2280.754650126865,688.2305659583234,1364.885414533328,983.2768849861442,3023.553603094527,374.5589462360773,2903.176721170224,842.7412882489591,3465.4285301724985,1202.207616713439,1793.3832547220968,1558.3289135632633,338.12436028154406,761.9284830858514,1670.686541919556,2472.083301203128,819.305779526966,1832.890481638846,1106.1937473590344,2280.6003628741782,2762.5025704839272,2386.5350620748195,1134.9977755477687,1665.637964725042,514.6763409472726,1083.1747718038164,731.999802781793,2108.1242050859855,1457.3810022458151,603.3082355068925,1838.696365582677,953.9459353532827,3036.3724363119154,1040.2960670694904,2511.012247672969,712.7083986106538,1322.509432966444,2279.1571519468707,2493.64745143561,2548.6806994441845,820.601512022297,1249.0921556295134,737.0207801700645,1164.6987815909051,3398.7076486906512,554.8484800794715,848.629158304314,709.9932672046579,500.27784592171184,1797.6707454468763,768.8731613190157,2743.933377932534,746.3771529053627,610.4048892445481,1022.9936924977845,830.5270990249772,1391.5724684287484,600.5025577686426,585.5943121947873,1061.9603245056078,1010.9357065002831,1674.3654859665182,857.6210686969382
"(3, 4, '0')",2320.950203125891,425.1896250799831,2016.3632602640507,238.5710062062525,2609.430581906547,1343.3515147208211,786.9316247085685,52.83025373994151,1792.7275905845472,840.0513849606723,1973.0075401498448,156.75018149364843,1686.9712302682892,1511.781374571299,996.673277377001,738.5471651658072,1966.6968232693637,738.610091075792,1398.6179346797849,1425.40213649512,90.80015453584551,1877.9741522550369,1601.4307237402627,1773.9017628930774,449.49646576409503,843.4564921848903,414.52912505993663,787.4266890249509,1121.0739532506998,738.0071555631222,1698.2051184487173,547.2399934481056,1689.8527859334192,1058.114208902838,1550.33864286461,702.7452566016619,443.1313526491456,1024.9623207921768,1211.7708372768,1490.066297756841,1743.414117494617,1361.6210081698043,2759.5613213767815,506.145443449127,1112.0858654250574,1573.808673008373,1730.5580938992107,1294.0079169290445,2292.433213302026,1553.7279627644295,947.6632072212867,255.5518418889152,715.830658870798,1459.536330065429,565.4902253116292,1328.9167381588434,1304.109431654952,1779.8022280636185,288.8928169230853,819.0367385019227,2182.6636077184726,2074.768340479872,2172.1826210840386,565.1843250864639,1558.3870633131294,865.2076954033894,936.816388525353,24.01700717795304,448.3791809406829,1854.3437959978367,937.4524576408079,1333.0276859036237,1070.2833806904052,1894.4396076362243,1536.6686991758806,3579.46890169364,727.4221871929227,1454.9259061803373,717.0585883409373,288.25880462604215,889.0588558149705,824.60687972153,2094.2687866812416,519.8312560384901,171.7831684091777,1684.8383998928741,595.3838486658053,1477.7190749867555,927.2400714946073,1591.3588380739225,1013.1957202591867,563.2452875135134,1566.4901028392483,1706.3664820812203,1574.5585732732613,1526.0063753871846,999.7488580797201,1388.7907337161218,1433.616718378894,1670.9252021769255
"(3, 10, '0')",2865.9498950867996,4010.578601007723,2826.730812112455,3479.1997646709115,1871.068775865183,2745.4086327718574,2990.410972069635,2631.801562778657,2459.7884329132767,2873.4803824112705,2447.227294471944,1885.3022678952057,3527.8927284984366,1927.5352683279882,3124.177133533521,4397.8718403623225,1473.507774224811,1821.7307742570617,2084.9269068827853,4974.268596024026,4393.140003041902,3257.3528418156293,2525.3990042181654,3526.6627084550446,1893.5514764877043,3290.3182294426333,2470.621167921915,1456.174192102702,1129.6489322610303,5083.28421849609,4703.092218222306,1509.2667477453326,1534.2228100847321,3969.058365440276,4872.063530227848,2892.6582829899016,4501.527916375897,3346.374533845039,3434.992388337528,1713.1494185737345,4462.220030031624,2851.4335766881113,4378.338516444288,2074.2373692252772,2999.6615013281616,2716.525548223913,3921.588087278127,3498.881615706654,2919.6428723800127,3969.5077775976306,2730.689597874212,3912.3673367527526,3577.7494978724617,2588.061329191398,3175.897943717808,3115.372693645246,3619.23555530712,2607.2974568839577,2473.705595353508,1185.6966283111135,2442.2283573146015,3418.997921804447,3151.7510621198435,3335.1199759659967,3143.5823876496124,4302.18078571273,2345.8873880256706,1633.452799357527,2894.9036262030545,2926.6063396136947,3885.6951980893687,955.1599605383462,4221.20729461441,2825.986289974476,3159.337384744963,2933.605849393327,2477.1866063656157,2629.164277078527,1457.5186953531654,3431.403502139986,2856.0926548292,2656.0713905024463,2766.2256653355,3443.4820855541525,3371.9669275872907,3101.528744017998,4596.196852638706,3207.066002019419,2242.040950989091,3108.5847541849407,2252.134175245369,2742.835628636819,3170.7361910264476,3577.458742089898,2079.9643255093793,2247.606056750149,2275.0467125146324,2575.4843807405023,1920.6282810319276,3989.79200235213
