path,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99
"[0, 1]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,17.004763778718797,1e-07,0.1,64.0610975422698,0.1,0.1,0.1,0.1,127.20301818529715,0.1,108.77020104934873,0.1,0.1,0.1,0.1,52.009498883484106,151.51250850592845,0.1,0.1,0.1,1e-07,0.1,0.1,0.1,0.1,0.1,131.09763228263546,95.21855400802903,0.1,0.1,0.1,148.37077409972906,0.1,0.1,0.1,1e-07,0.1,0.1,47.39056077417678,0.1,0.1,0.1,0.1,33.25421612254934,75.89811840439658,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,100.6755831941262,0.1,0.1,0.1,1e-07,0.1,141.67318436655643,0.1,0.1,0.1,0.1,0.1,0.1,185.61475747327222,118.03297839347547,190.2370130849268,103.73334491830728,0.1,77.00272447623146,224.03688201728264,0.1,93.30671746106064,0.1,0.1,137.96907202790146,19.87969714329661,0.1,0.1,19.081342973865432,166.9042563330429,0.1,149.89398646861682,0.1,0.1,0.1,0.1,0.1
"[0, 2, 3, 4, 5, 1]",3.6096300748249756e-45,3.6325890218234766e-45,3.7128523673243586e-45,3.7177022309145705e-45,3.5653369429670684e-45,3.715516956217957e-45,3.692560045717843e-45,3.709340699151114e-45,6.280085733273984e-43,3.7031157451473504e-51,3.633629400950356e-45,2.34461556733228e-42,3.6483241510041644e-45,3.6659891390152846e-45,3.638144647485819e-45,3.7128617151555526e-45,4.6300183127804917e-42,3.6975777564648406e-45,3.9296672162869926e-42,3.719065825250121e-45,3.708583563732436e-45,3.6718505597824246e-45,3.6470239312291515e-45,1.9276033907297408e-42,5.5685991673616126e-42,3.7176729401098695e-45,3.6547514952240006e-45,3.667756095086834e-45,3.716930443589111e-51,3.703551065345932e-45,3.713524035528496e-45,3.713450567656815e-45,3.676666200234715e-45,3.453925893329265e-45,4.8751174553721714e-42,3.5397853511341175e-42,3.7128442321302746e-45,3.703877807033841e-45,3.7124345592880005e-45,5.4817678933178453e-42,3.687883085300883e-45,3.5982031166107817e-45,3.708468053276282e-45,3.668876704939297e-51,3.700914527454864e-45,3.630804022122909e-45,1.74648654917396e-42,3.705654725221368e-45,3.5200972000294724e-45,3.6773366128684906e-45,3.701284740993931e-45,1.2347026992950413e-42,2.8142210119781965e-42,3.6902343544909876e-45,3.7194382319604424e-45,3.131369536756948e-45,3.608104130504972e-45,3.686984559587017e-45,3.683620139134237e-45,3.718847315357763e-45,3.330509083966162e-45,3.6869860066332716e-45,3.6849849265710923e-45,3.7289459098634565e-42,3.436418614972719e-45,3.50018073148861e-45,3.617310786196579e-45,3.696942609201325e-51,3.607887815769273e-45,5.232382606954229e-42,3.679012432217211e-45,3.6790122573331244e-45,3.6887096332525015e-45,3.665687634957985e-45,3.7136917389983095e-45,3.542011447607031e-45,6.881864393641461e-42,4.20645908233326e-42,7.074824992512675e-42,3.597185710852843e-42,3.7196587338946e-45,2.8598931277386226e-42,8.26346916104316e-42,3.430099377656448e-45,3.1502060410079455e-42,3.716694910351812e-45,3.723062332422328e-45,5.056229424913452e-42,7.001481450456744e-43,3.7074559588930667e-45,3.4914929232084204e-45,7.081497530349966e-43,5.978106662844936e-42,3.7184467548507865e-45,5.5665291107309514e-42,3.706840199513168e-45,3.701737249121434e-45,3.610337577787391e-45,3.7164853078912615e-45,3.545412463028015e-45
"[0, 2]",0.1693211585360217,0.1,0.1,0.1,0.1,1e-07,0.1,0.1,0.1,0.1,0.1,0.1,91.34631061727592,0.1,0.1,0.1,0.1,53.09170262731651,0.1,0.1,20.2358661932046,0.1,0.1,0.1,0.1,0.1,0.1,57.37238427267647,0.1,0.1,0.1,0.1,0.1,79.98895995185902,216.135295513676,0.1,0.1,0.1,92.96406982856409,85.37557312951618,0.1,0.1,0.1,0.1,0.1,59.75649232372284,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15.729901884018076,0.1,0.1,3.0103722119701075,0.1,0.1,160.06134094509483,0.1,0.1,1e-07,0.1,0.1,0.1,76.55772768132623,0.1,0.1,0.1,15.636957037666178,0.1,0.1,0.1,0.1,117.9802232686406,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,112.20583254013708,43.96626748244087,0.1,0.1,0.1,28.0264349644995,0.1,0.1,0.1,0.1,0.1,111.53521337691953,130.22628480723597,186.20056251747363
"[0, 1, 5, 4, 3, 2]",8.332700680844266e-43,5.410020215794693e-43,4.646764776476479e-43,4.3071274232853726e-43,5.105575471985333e-43,4.9828936921447094e-49,4.969030040293867e-43,5.0048541902616645e-43,4.489881394289845e-43,5.303962876434728e-43,5.173131946704075e-43,5.329311476433061e-43,4.257047699840101e-40,5.2414805777274885e-43,5.43042527756799e-43,3.975989000311008e-43,5.3294856625064394e-43,2.6970576942410822e-40,5.294577211575351e-43,4.047178513655268e-43,9.112922905791822e-41,4.952797380725015e-43,5.464572864513859e-43,5.1695331780329574e-43,3.7630360613555774e-43,4.980758929301613e-43,4.992608622695314e-43,2.886323224296991e-40,5.483313693635341e-43,4.651257724456406e-43,3.1213774940404556e-43,4.8427340987618624e-43,4.3097712887415635e-43,3.576822846187236e-40,9.311404981053815e-40,4.718405451527707e-43,3.785356600207109e-43,4.908962734576726e-43,3.1603866898715755e-40,4.521626402511124e-40,5.467917173965289e-43,5.201978188446782e-43,4.923901264143214e-43,4.839239907102331e-43,5.474774188966617e-43,3.029150773473281e-40,4.16586142769109e-43,4.774870265079114e-43,5.424504019802176e-43,5.285081960741041e-43,5.406645368537567e-43,5.4113469931881296e-43,4.405422927471687e-43,5.012695829898361e-43,4.09202788318957e-43,8.562425747644939e-41,4.269445789981973e-43,4.25707996864345e-43,1.3409648443209354e-41,4.9169209816733425e-43,5.317308295512518e-43,6.958765797499888e-40,3.901266406646392e-43,4.6301980228372086e-43,5.3596195204155725e-49,4.867163973391009e-43,4.69571121317447e-43,4.797966571062046e-43,3.858244726806879e-40,5.275204920372904e-43,5.231445486501823e-43,5.37110218266831e-43,8.311356929454668e-41,5.410069941221337e-43,4.497812595411267e-43,5.213574520053461e-43,4.935982090323391e-43,6.144863098644314e-40,4.630729745582237e-43,5.267379084629624e-43,5.074421477028496e-43,5.147722552756455e-43,4.881173844995551e-43,4.175989415037693e-43,5.274494016183574e-43,5.12859500102107e-43,2.053179253433497e-40,2.409996486917979e-40,1.894021982466766e-43,5.503754654677044e-43,5.43141689726138e-43,1.4717482245863497e-40,5.363007676948757e-43,5.2284480886399294e-43,5.307420765683586e-43,4.650762254836359e-43,5.324097207986256e-43,4.935770639121897e-40,7.031234000253899e-40,8.712501537501556e-40
"[0, 2, 3]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,581.4726048444866,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,466.85104343290936,0.1,0.1,0.1,0.1,310.90354709840426,0.1,0.1,0.1,0.1,0.1,0.1,429.6708325558264,0.1,0.1,0.1,435.37248321142295,647.3445693137053,0.1,0.1,0.1,0.1,0.1,525.8872427499207,582.6709185831654,0.1,0.1,657.2231953657118,0.1,0.1,0.1,0.1,0.1,411.2343741254616,0.1,0.1,443.6649485051662,0.1,0.1,0.1,591.9184725869795,0.1,449.09909842709163,524.8147849990828,0.1,0.1,0.1,486.6950266468606,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,455.1147811426773,0.1,0.1,0.1,0.1,0.1,505.19294242860946,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,513.7753313970609,0.1,447.5799210017023,497.6573481298202,578.8287378694986
"[0, 1, 5, 4, 3]",6.326141286347285e-24,6.954602545903274e-24,5.9738076874226285e-24,5.5397944058046994e-24,6.561523975800568e-24,6.405170728492566e-24,6.38606155281142e-24,6.4342007966863386e-24,5.77649949221149e-24,6.818364505679474e-24,6.648557346131772e-24,3.986630714024963e-20,5.992090249815249e-24,6.737324357698537e-24,6.979646516796742e-24,5.110904139827166e-24,6.849751124906379e-24,6.5322297001580686e-24,6.804817295612972e-24,5.2032374635483006e-24,5.790042587896427e-24,2.9726787456149884e-20,7.024847095714472e-24,6.643891679978247e-24,4.840219431260616e-24,6.402810331953642e-24,1.9954685272794143e-20,6.466547383963345e-24,7.048026026050936e-24,5.982241754881487e-24,4.011946580988394e-24,6.2240281486339556e-24,5.5415838788028234e-24,2.4696068842323532e-20,5.5372744762896704e-24,6.064350862717531e-24,4.865198916421627e-24,2.7502714101243367e-20,2.8285604430381986e-20,6.806776299607835e-24,7.027267568734321e-24,6.69030401518069e-24,6.328090661196416e-24,6.222304369129976e-24,3.700284306205925e-20,3.801931435597084e-20,5.3563920896392116e-24,6.13719980235386e-24,4.582490927877615e-20,6.792244440448772e-24,6.948447147989089e-24,6.955407633874825e-24,5.663278874946386e-24,6.442401692719135e-24,2.1628963671961675e-20,6.995774495777767e-24,5.488008217261141e-24,2.4287718857965248e-20,5.727589399844809e-24,6.319219116127524e-24,6.834321652669315e-24,3.30892401522262e-20,5.014121140545837e-24,2.672839535320914e-20,3.6177772331605445e-20,6.255347927812117e-24,6.0347552657383126e-24,6.166648140117776e-24,3.15244419226936e-20,6.783983007887135e-24,6.723303670233932e-24,6.904674223682521e-24,6.831398560174575e-24,6.952993543776313e-24,5.781525102245429e-24,6.70221063364469e-24,6.346307893448847e-24,3.0465457293665696e-20,5.951390581424306e-24,6.771433872986989e-24,6.522001477460348e-24,6.623052949042976e-24,6.273101599274996e-24,2.711841866673237e-20,6.778767417616257e-24,6.591741792849034e-24,2.3518365476137963e-24,7.044747150717062e-24,2.4350936592124023e-24,7.074503751907862e-24,6.985905578716572e-24,6.749016018631755e-24,6.892661223549995e-24,6.72310547601046e-24,6.821586232501801e-24,3.071443918081371e-20,6.843009887682869e-24,2.545506391476327e-20,3.4534212132124266e-20,3.4840368579318634e-20
"[0, 1, 5, 4]",0.09798734972126903,0.09816565097696342,0.09787097587548904,0.09770787431147399,0.09805842649057722,162.76981985959705,0.09800567867384874,0.09802024931453074,0.0977998101446335,0.09812973311718638,0.09808288637743491,205.41946788957029,0.09787731920778425,0.0981076165261306,0.09817209473826273,0.09752030146302124,0.09813814054802653,0.09804970593703918,0.09812606973324724,254.6426477905342,0.09780478476560445,0.09800017780390374,278.45363692914805,0.09808153347298228,285.0741103684787,174.162561438688,0.09801538440096409,0.09802995497506872,0.09818949956596583,0.09787428986795448,0.09686247882182134,0.09795494233961578,0.09770866129960025,276.59537329633787,287.13495939378697,138.6288542963873,255.19866727143133,0.09798429146026831,0.09711175961249877,0.09812656789455315,0.09818432211989396,0.09809460175893683,0.09798806435835274,0.09795446699432969,0.09818652858226856,204.53794986185954,0.09763140030407386,0.09792659250558211,0.09817039436811138,89.57548474776607,0.09816408542292553,0.09816584002572153,0.09775707721953937,0.09802272542863899,0.09758916728179902,0.09817623200996949,164.4178138986201,0.0976811725870316,251.6304335882895,91.31629875530702,0.09813414817735634,0.09772839862607109,0.09747401069094598,0.09786306840193794,167.7138574872058,0.09796511294221932,159.61370198784675,0.09793607365896402,197.49013333635187,0.09812060474001455,0.09810373865508411,83.96035159560039,0.09813328989809118,0.0981653502175777,245.63756470275615,267.943702315218,101.48932327017218,0.098095673852378,0.09786300742439129,0.09811692890339112,0.09804632969344466,0.09807559897018817,0.0979704917470309,0.09763629073632053,0.09811895270599869,0.09806701388276101,191.89865763249333,0.0981886945124987,175.22026633900907,0.09819618106029349,0.09817369827105674,0.09811080021008736,204.23339995369733,0.09810371246071388,0.09813055280797467,0.09787241517078529,0.09813626372497336,0.09776604405940215,0.09816170107686395,0.09788659227985919
"[0, 2, 3, 4]",0.002012650278730987,0.0018343490230365773,0.0021290241245109608,0.0022921256885260074,0.001941573509422788,3.302272516191501,0.0019943213261512786,0.0019797506854692614,0.002200189855366515,0.0018702668828136293,0.0019171136225650887,3.8937482717535343,0.002122680792215745,0.0018923834738694097,0.0018279052617372834,0.0024796985369787785,0.0018618594519734688,0.0019502940629608234,0.0018739302667527735,6.359742007090977,0.002195215234395555,0.0019998221960962595,5.151221025908963,0.0019184665270177243,7.654119001162288,3.5348694631888042,0.0019846155990359137,0.001970045024931286,0.0018105004340341847,0.0021257101320455284,0.003137521178178667,0.0020450576603842172,0.002291338700399756,6.2538471950113586,6.738480600899697,2.9703258474489846,6.816793235800553,0.0020157085397316944,0.0028882403875012427,0.001873432105446854,0.0018156778801060567,0.0019053982410631753,0.002011935641647267,0.0020455330056703123,0.0018134714177314413,4.073691966960765,0.0023685996959261447,0.0020734074944179,0.0018296056318886193,1.7137576550988343,0.0018359145770744775,0.001834159974278487,0.0022429227804606363,0.0019772745713610086,0.002410832718200979,0.0018237679900305341,3.8932329174412352,0.002318827412968411,5.709452125479409,1.8779662687501697,0.0018658518226436574,0.002271601373928918,0.0025259893090540195,0.002136931598062063,3.1615370555804754,0.0020348870577806782,3.437235095439298,0.002063926341035987,3.962400275026554,0.0018793952599854607,0.0018962613449159027,1.5802108403882036,0.0018667101019088272,0.0018346497824223034,5.520930545529291,5.192876813877517,2.0782493204698764,0.0019043261476219967,0.0021369925756087142,0.0018830710966088956,0.0019536703065553508,0.001924401029811835,0.00202950825296911,0.002363709263679468,0.0018810472940013296,0.0019329861172389933,10.603035217675563,0.0018113054875012998,9.351223197190079,0.0018038189397065188,0.0018263017289432686,0.0018891997899126364,3.8506067769901864,0.0018962875392861138,0.0018694471920253414,0.00212758482921471,0.0018637362750266472,0.002233955940597859,0.0018382989231360706,0.002113407720140826
"[0, 1, 5]",0.1,228.71569856478177,350.5631522162737,292.2007147926045,0.1,0.1,0.1,224.60764041808005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,265.8775856377732,0.1,0.1,0.1,0.1,0.1,304.88585842742117,347.44807684246587,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,311.1077185432081,348.7919568055995,264.1261576980504,0.1,0.1,0.1,0.1,407.61155273467637,0.1,0.1,0.1,0.1,392.1720219281226,0.1,0.1,214.98553682518406,0.1,0.1,0.1,0.1,363.8761491632539,262.4040319778794,0.1,0.1,0.1,388.467241397405,0.1,0.1,0.1,0.1,0.1,187.57936401358836,0.1,0.1,412.04430121082953,0.1,0.1,0.1,407.70083505043294,0.1,0.1,0.1,0.1,391.8672005954251,0.1,362.1447355576707,0.1,0.1,0.1,0.1,0.1,0.1,334.34131073230236,0.1,0.1,276.315646665872,0.1,336.5564004065276,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,378.7651614005088,0.1,0.1
"[0, 2, 3, 4, 5]",8.74099932045693e-28,2.04014088483793e-24,3.527630149475797e-24,3.2319473276111725e-24,8.639007162189586e-28,8.821681570733804e-28,9.222893303596543e-28,2.1335361523245242e-24,1.016483101724101e-27,8.824831491587652e-28,9.114139366265516e-28,8.944859014756209e-28,1.0036749446888816e-27,9.183955758095715e-28,8.778799751026274e-28,3.197846911618057e-24,8.977733407411987e-28,9.316770900593627e-28,8.864828037979056e-28,9.645448970595228e-28,1.008910341266953e-27,2.8317817301100247e-24,2.9923508140331963e-24,9.215557691756443e-28,9.858843250931268e-28,9.52003308059119e-28,8.835932507930782e-28,8.774364332650855e-28,8.811381712890868e-28,9.444442795091687e-28,1.1521651388512598e-27,2.898160544869958e-24,3.646627257397748e-24,2.634314796432067e-24,9.33810983901047e-28,8.780142878697337e-28,1.2744714107246972e-27,9.707766446643358e-28,5.2761299681302806e-24,9.041227657729686e-28,8.73293040241575e-28,8.892875455465789e-28,8.922099338759132e-28,3.721781231576518e-24,8.811333482509387e-28,9.477501220691616e-28,2.336232627189149e-24,9.753427123544262e-28,8.695391883881409e-28,8.829795617334596e-28,8.902884910243337e-28,3.211545117044343e-24,2.6148657245435257e-24,9.564454064923094e-28,1.0424492838477932e-27,8.864729130966992e-28,3.5847451105162024e-24,9.832822892353956e-28,1.0129834732613213e-27,9.647809633082872e-28,8.744361313025244e-28,9.033594288885589e-28,2.050360773766594e-24,1.0385618190530438e-27,8.987012446541578e-28,3.924067700244515e-24,1.0284799521589769e-27,9.606845482182156e-28,9.587564225045182e-28,3.6388444485438504e-24,8.682010754143853e-28,8.870438973491834e-28,9.004253676770593e-28,8.74408859458913e-28,3.5297518032686384e-24,8.791345625580614e-28,3.457285922152377e-24,8.8130913538818e-28,1.009868900695945e-27,8.853979786080736e-28,9.135505514747657e-28,8.79890946365453e-28,9.15945440019514e-28,3.1104402927722172e-24,8.787316090992401e-28,8.805451201104772e-28,6.1376350060521064e-24,8.756937309600958e-28,7.993806365677836e-24,8.760811972851215e-28,8.816537567283162e-28,9.134159127297927e-28,8.94411356903635e-28,9.161958930753473e-28,9.103252739001128e-28,1.0337583750284738e-27,9.07701818297795e-28,3.9057713155330784e-24,8.844271729573636e-28,9.397011981743901e-28
